Catalog ID,Description,Sex
HG01778,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN,male
HG01779,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN,female
HG01780,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN,male
HG01781,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN,male
HG01782,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN,female
HG01783,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN,male
HG01784,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN,female
HG01785,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN,male
HG01786,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN,female
HG01789,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG01790,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG01791,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",male
HG01794,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG01795,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG01796,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG01797,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG01798,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG01799,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG01800,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG01801,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG01802,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG01804,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG01805,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG01806,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG01807,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG01808,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG01809,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG01810,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",male
HG01811,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",male
HG01812,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG01813,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG01815,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG01816,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",male
HG01817,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG01840,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG01841,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG01842,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG01843,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG01844,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG01845,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG01846,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG01847,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG01848,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG01849,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG01850,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG01851,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG01852,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG01853,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG01855,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG01857,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG01858,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG01859,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG01860,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG01861,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG01862,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG01863,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG01864,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG01865,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG01866,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG01867,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG01868,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG01869,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG01870,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG01871,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG01872,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG01873,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG01874,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG01878,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG01879,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,male
HG01880,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,female
HG01881,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,female
HG01882,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,male
HG01883,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,female
HG01884,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,female
HG01885,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,male
HG01886,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,female
HG01887,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,male
HG01888,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,male
HG01889,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,female
HG01890,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,male
HG01891,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,female
HG01892,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG01893,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01894,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,female
HG01895,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,male
HG01896,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,female
HG01897,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,male
HG01898,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01912,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,male
HG01914,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,male
HG01915,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,female
HG01916,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,female
HG01917,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG01918,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01919,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01920,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG01921,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01922,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01923,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG01924,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01925,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01926,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG01927,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01928,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG01932,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG01933,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01934,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG01935,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG01936,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01937,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG01938,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG01939,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01940,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01941,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG01942,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01943,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG01944,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG01945,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01946,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG01947,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG01948,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01949,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01950,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG01951,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01952,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG01953,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG01954,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01955,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01956,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,female
HG01958,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,female
HG01959,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,female
HG01960,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,female
HG01961,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG01965,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01967,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG01968,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01969,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01970,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG01971,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01972,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01973,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01974,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG01975,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01976,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01977,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG01978,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01979,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG01980,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01981,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01982,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG01983,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01984,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG01985,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,female
HG01986,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,male
HG01987,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,male
HG01988,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,male
HG01989,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,female
HG01990,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,male
HG01991,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG01992,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01993,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01997,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG01998,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG02002,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG02003,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG02004,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG02006,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG02008,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG02009,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,male
HG02010,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,female
HG02011,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,male
HG02012,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,female
HG02013,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,male
HG02014,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,male
HG02015,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02016,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG02017,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02018,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG02019,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG02020,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02023,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02024,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG02025,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG02026,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02027,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02028,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG02029,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02030,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02031,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG02032,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02035,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02040,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02047,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02048,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG02049,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG02050,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02051,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,male
HG02052,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,female
HG02053,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,male
HG02054,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,female
HG02055,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,male
HG02056,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02057,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG02058,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02059,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG02060,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG02061,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02064,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02067,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02068,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG02069,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG02070,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02071,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02072,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG02073,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02074,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02075,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG02076,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02077,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02078,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG02079,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02080,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG02081,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG02082,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02083,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02084,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG02085,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02086,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG02087,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG02088,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02089,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG02090,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG02091,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG02095,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,female
HG02102,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG02104,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG02105,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG02106,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG02107,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,male
HG02108,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,female
HG02111,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,female
HG02113,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG02116,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02120,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02121,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG02122,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02126,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG02127,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG02128,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02129,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02130,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG02131,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02132,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02133,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG02134,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02135,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02136,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG02137,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02138,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02139,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG02140,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG02141,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",male
HG02142,"1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY, VIETNAM",female
HG02143,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,male
HG02144,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,female
HG02145,1000 GENOMES PROJECT - AFRICAN ANCESTRY FROM BARBADOS IN THE CARIBBEAN,male
HG02146,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG02147,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG02148,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",female
HG02150,"1000 GENOMES PROJECT - PERUVIAN IN LIMA, PERU",male
HG02151,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG02152,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG02153,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG02154,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG02155,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG02156,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG02164,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG02165,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG02166,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG02178,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG02179,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG02180,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG02181,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG02182,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG02184,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG02185,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG02186,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG02187,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG02188,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG02190,"1000 GENOMES PROJECT - CHINESE DAI IN XISHUANGBANNA, CHINA",female
HG02215,"1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND, UK",female
HG02219,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN,male
HG02220,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN,female
HG02221,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN,male
HG02222,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN,female
HG02223,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN,female
HG02224,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN,male
HG02225,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN,female
HG02229,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN,female
HG02230,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN,female
HG02231,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN,male
HG02232,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN,female
HG02233,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN,male
